Mode,Service Type,Source,Year,Month,Route,Ridership
Bus,Weekdays,APC,2019,January,1,2518
Bus,Weekdays,APC,2019,January,2,4884
Bus,Weekdays,APC,2019,January,3,8216
Bus,Weekdays,APC,2019,January,4,5918
Bus,Weekdays,APC,2019,January,5,3581
Bus,Weekdays,APC,2019,January,6,5697
Bus,Weekdays,APC,2019,January,7,4687
Bus,Weekdays,APC,2019,January,8,2483
Bus,Weekdays,APC,2019,January,9,4399
Trolley,Weekdays,Traffic,2019,January,10,10422
Trolley,Weekdays,APC,2019,January,11,13881
Bus,Weekdays,APC,2019,January,12,2344
Trolley,Weekdays,APC,2019,January,13,12429
Bus,Weekdays,APC,2019,January,14,6293
Trolley,Weekdays,Traffic,2019,January,15,10194
Bus,Weekdays,APC,2019,January,16,6470
Bus,Weekdays,APC,2019,January,17,8650
Bus,Weekdays,APC,2019,January,18,14135
Bus,Weekdays,APC,2019,January,19,1384
Bus,Weekdays,APC,2019,January,20,4833
Bus,Weekdays,APC,2019,January,21,9192
Bus,Weekdays,APC,2019,January,22,4223
Bus,Weekdays,APC,2019,January,23,14333
Bus,Weekdays,APC,2019,January,24,2167
Bus,Weekdays,APC,2019,January,25,3833
Bus,Weekdays,APC,2019,January,26,9896
Bus,Weekdays,APC,2019,January,27,3703
Bus,Weekdays,APC,2019,January,28,1792
Bus,Weekdays,APC,2019,January,29,4937
Bus,Weekdays,APC,2019,January,30,1211
Bus,Weekdays,APC,2019,January,31,4301
Bus,Weekdays,APC,2019,January,32,4771
Bus,Weekdays,APC,2019,January,33,10774
Trolley,Weekdays,APC,2019,January,34,12235
Bus,Weekdays,APC,2019,January,35,135
Trolley,Weekdays,APC,2019,January,36,15211
Bus,Weekdays,APC,2019,January,37,3171
Bus,Weekdays,APC,2019,January,38,2430
Bus,Weekdays,APC,2019,January,39,2360
Bus,Weekdays,APC,2019,January,40,7023
Bus,Weekdays,APC,2019,January,42,8613
Bus,Weekdays,APC,2019,January,43,3369
Bus,Weekdays,APC,2019,January,44,3141
Bus,Weekdays,APC,2019,January,45,5808
Bus,Weekdays,APC,2019,January,46,5521
Bus,Weekdays,APC,2019,January,47,15454
Bus,Weekdays,APC,2019,January,48,7400
Bus,Weekdays,APC,2019,January,50,1979
Bus,Weekdays,APC,2019,January,52,13816
Bus,Weekdays,APC,2019,January,53,2708
Bus,Weekdays,APC,2019,January,54,6933
Bus,Weekdays,APC,2019,January,55,4898
Bus,Weekdays,APC,2019,January,56,10966
Bus,Weekdays,APC,2019,January,57,9642
Bus,Weekdays,APC,2019,January,58,7566
Trackless Trolley,Weekdays,APC,2019,January,59,4384
Bus,Weekdays,APC,2019,January,60,10891
Bus,Weekdays,APC,2019,January,61,3832
Bus,Weekdays,APC,2019,January,62,231
